ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
あきはきの,えたもとををに,なりゆくは,しらつゆおもく,おけはなりけり
わかやとの,をはなかうへの,しらつゆを,けたすてたまに,ぬくものにもか
さをしかの,たちならすをのの,あきはきに,おけるしらつゆ,われもけぬへし
あきののの,くさはいととも,みえなくに,おくしらつゆを,たまとぬくらむ
しらつゆに,かせのふきしく,あきののは,つらぬきとめぬ,たまそちりける
あきののに,おくしらつゆを,けさみれは,たまやしけると,おとろかれつつ
おくからに,ちくさのいろに,なるものを,しらつゆとのみ,ひとのいふらむ
しらたまの,あきのこのはに,やとれると,みゆるはつゆの,はかるなりけり
あきののに,おくしらつゆの,きえさらは,たまにぬきても,かけてみてまし
からころも,そてくつるまて,おくつゆは,わかみをあきの,のとやみるらむ
おほそらに,わかそてひとつ,あらなくに,かなしくつゆや,わきておくらむ
あさことに,おくつゆそてに,うけためて,よのうきときの,なみたにそかる
あきののの,くさもわけぬを,わかそての,ものおもふなへに,つゆけかるらむ
いくよへて,のちかわすれむ,ちりぬへき,のへのあきはき,みかくつきよを
あきのよの,つきのかけこそ,このまより,おちはころもと,みにうつりけれ
そてにうつる,つきのひかりは,あきことに,こよひかはらぬ,かけとみえつつ
あきのよの,つきにかさなる,くもはれて,ひかりさやかに,みるよしもかな
あきのいけの,つきのうへにこく,ふねなれは,かつらのえたに,さをやさはらむ
あきのうみに,うつれるつきを,たちかへり,なみはあらへと,いろもかはらす
あきのよの,つきのひかりは,きよけれと,ひとのこころの,くまはてらさす
あきのつき,つねにかくてる,ものならは,やみにふるみは,ましらさらまし
いつとても,つきみぬあきは,なきものを,わきてこよひの,めつらしきかな
つきかけは,おなしひかりの,あきのよを,わきてみゆるは,こころなりけり
そらとほみ,あきやよくらむ,ひさかたの,つきのかつらの,いろもかはらぬ
ころもては,さむくもあらねと,つきかけを,たまらぬあきの,ゆきとこそみれ
あまのかは,しからみかけて,ととめなむ,あかすなかるる,つきやよとむと
あきかせに,なみやたつらむ,あまのかは,わたるせもなく,つきのなかるる
あきくれは,おもふこころそ,みたれつつ,まつもみちはと,ちりまさりける
きえかへり,ものおもふあきの,ころもこそ,なみたのかはの,もみちなりけれ
ふくかせに,ふかきたのみの,むなしくは,あきのこころを,あさしとおもはむ
あきのよは,ひとをしつめて,つれつれと,かきなすことの,ねにそなきぬる
ぬきとむる,あきしなけれは,しらつゆの,ちくさにおける,たまもかひなし
あきかせに,いととふけゆく,つきかけを,たちなかくしそ,あまのかはきり
をみなへし,にほへるあきの,むさしのは,つねよりもなほ,むつましきかな
あききりの,はるるはうれし,をみなへし,たちよるひとや,あらむとおもへは
をみなへし,くさむらことに,むれたつは,たれまつむしの,こゑにまよふそ
をみなへし,ひるみてましを,あきのよの,つきのひかりは,くもかくれつつ
をみなへし,はなのさかりに,あきかせの,ふくゆふくれを,たれにかたらむ
しろたへの,ころもかたしき,をみなへし,さけるのへにそ,こよひねにける
なにしおへは,しひてたのまむ,をみなへし,はなのこころの,あきはうくとも
たなはたに,にたるものかな,をみなへし,あきよりほかに,あふときもなし
あきののに,よるもやねなむ,をみなへし,はなのなをのみ,おもひかけつつ
をみなへし,いろにもあるかな,まつむしを,もとにやとして,たれをまつらむ
をみなへし,にほふさかりを,みるときそ,わかおいらくは,くやしかりける
をみなへし,はなのなならぬ,ものならは,なにかはきみか,かさしにもせむ
をみなへし,をりけむそての,ふしことに,すきにしきみを,おもひいてやせし
をみなへし,をりもをらすも,いにしへを,さらにかくへき,ものならなくに
ふちはかま,きるひとなみや,たちなから,しくれのあめに,ぬらしそめつる
あきかせに,あひとしあへは,はなすすき,いつれともなく,ほにそいてける
はなすすき,そよともすれは,あきかせの,ふくかとそきく,ひとりぬるよは
はなすすき,ほにいてやすき,くさなれは,みにならむとは,たのまれなくに
あきかせに,さそはれわたる,かりかねは,くもゐはるかに,けふそきこゆる
あきのよに,かりかもなきて,わたるなり,わかおもふひとの,ことつてやせし
あきかせに,きりとひわけて,くるかりの,ちよにかはらぬ,こゑきこゆなり
ものおもふと,つきひのゆくも,しらさりつ,かりこそなきて,あきとつけけれ
かりかねの,なきつるなへに,からころも,たつたのやまは,もみちしにけり
あきかせに,さそはれわたる,かりかねは,ものおもふひとの,やとをよかなむ
たれきけと,なくかりかねそ,わかやとの,をはなかすゑを,すきかてにして
ゆきかへり,ここもかしこも,たひなれや,くるあきことに,かりかりとなく
あきことに,くれとかへれは,たのまぬを,こゑにたてつつ,かりとのみなく
ひたすらに,わかおもはなくに,おのれさへ,かりかりとのみ,なきわたるらむ
としことに,くもちまとはぬ,かりかねは,こころつからや,あきをしるらむ
あまのかは,かりそとわたる,さほやまの,こすゑはうへも,いろつきにけり
あききりの,たちののこまを,ひくときは,こころにのりて,きみそこひしき
いそのかみ,ふるののくさも,あきはなほ,いろことにこそ,あらたまりけれ
あきののの,にしきのことも,みゆるかな,いろなきつゆは,そめしとおもふに
あきののに,いかなるつゆの,おきつめは,ちちのくさはの,いろかはるらむ
