あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
たまにぬく,つゆはこほれて,むさしのの,くさのはむすふ,あきのはつかせ
くれゆかは,そらのけしきも,いかならむ,けさたにかなし,あきのはつかせ
おとたてて,いまはたふきぬ,わかやとの,をきのうははの,あきのはつかせ
あしひきの,やましたかせの,いつのまに,おとふきかへて,あきはきぬらむ
なつすきて,けふやいくかに,なりぬらむ,ころもてすすし,よはのあきかせ
あまつかせ,そらふきまよふ,ゆふくれの,くものけしきに,あきはきにけり
よるなみの,すすしくもあるか,しきたへの,そてしのうらの,あきのはつかせ
まくすはら,うらみぬそての,うへまても,つゆおきそむる,あきはきにけり
やまさとは,くすのうらはを,ふきかへす,かせのけしきに,あきをしるかな
あきといへは,こころのいろも,かはりけり,なにゆゑとしも,おもひそめねと
さくらあさの,かりふのはらを,けさみれは,とやまかたかけ,あきかせそふく
ゆふくれは,ころもてすすし,たかまとの,をのへのみやの,あきのはつかせ
ひこほしの,ゆきあひをまつ,ひさかたの,あまのかはらに,あきかせそふく
かささきの,よりはのはしを,よそなから,まちわたるよに,なりにけるかな
あまのかは,わたらぬさきの,あきかせに,もみちのはしの,なかやたえなむ
あまのかは,やそせのなみも,むせふらむ,としまちわたる,かささきのはし
あまのかは,うきつのなみに,ひこほしの,つまむかへふね,いまやこくらし
おもへとも,つらくもあるかな,たなはたの,なとかひとよと,ちきりそめけむ
あまのかは,ほしあひのそらも,みゆはかり,たちなへたてそ,よはのあききり
たなはたの,わかこころとや,あふことを,としにひとたひ,ちきりおきけむ
くさのうへの,つゆとるけさの,たまつさに,のきはのかちは,もとつはもなし
たなはたの,あまのかはなみ,たちかへり,このくれはかり,いかてわたさむ
あまのかは,みつかけくさに,おくつゆや,あかぬわかれの,なみたなるらむ
むつことも,またつきなくの,あきかせに,たなはたつめや,そてぬらすらむ
たまさかに,あきのひとよを,まちえても,あくるほとなき,ほしあひのそら
あきといへは,ものをそおもふ,やまのはに,いさよふくもの,ゆふくれのそら
いまよりの,あきのねさめを,いかにとも,をきのはならて,たれかとふへき
をきのはに,かせのおとせぬ,あきもあらは,なみたのほかに,つきはみてまし
をきのはに,ふきとふきぬる,あきかせの,なみたさそはぬ,ゆふくれそなき
いかにして,ものおもふひとの,すみかには,あきよりほかの,さとをたつねむ
しらつゆと,くさはにおきて,あきのよを,こゑもすからに,あくるまつむし
よひよひの,やまのはおそき,つきかけを,あさちかつゆに,まつむしのこゑ
かれはてて,のちはなにせむ,あさちふに,あきこそひとを,まつむしのこゑ
へたてこし,やとのあしかき,あれはてて,おなしにはなる,あきはきのはな
しらつゆの,おりいたすはきの,したもみち,ころもにうつる,あきはきにけり
このころの,あきかせさむみ,はきのはな,ちらすしらつゆ,おきにけらしも
あすかかは,ゆききのをかの,あきはきは,けふふるあめに,ちりかすきなむ
しらつゆと,あきのはなとを,こきませて,わくことかたき,わかこころかな
さをしかの,こゑきこゆなり,みやきのの,もとあらのこはき,はなさかりかも
かりころも,はきのはなすり,つゆふかみ,うつろふいろに,そほちゆくかな
みちのへの,をののゆふきり,たちかへり,みてこそゆかめ,あきはきのはな
ふるさとの,もとあらのこはき,いたつらに,みるひとなしに,さきかちるらむ
しらすけの,まののはきはら,さきしより,あさたつしかの,なかぬひはなし
あさまたき,たをらてをみむ,はきのはな,うははのつゆの,こほれもそする
をみなへし,しめゆひおきし,かひもなく,なひきにけりな,あきののかせに
たつねきて,たひねをせすは,をみなへし,ひとりやのへに,つゆけからまし
なにしおはは,しひてたのまむ,をみなへし,ひとのこころの,あきはうくとも
をみなへし,をるてにかかる,しらつゆは,むかしのけふに,あらぬなみたか
わきもこか,すそのににほふ,ふちはかま,つゆはむすへと,ほころひにけり
さらすとて,たたにはすきし,はなすすき,まねかてひとの,こころをもみよ
はなすすき,くさのたもとを,かりそなく,なみたのつゆや,おきところなき
こころなき,くさのたもとも,はなすすき,つゆほしあへぬ,あきはきにけり
まねけとて,うゑしすすきの,ひともとに,とはれぬにはそ,しけりはてぬる
いくあきの,かせのやとりと,なりぬらむ,あとたえはつる,にはのをきはら
ぬしはあれと,のとなりにける,まかきかな,をかやかしたに,うつらなくなり
おほつかな,たれとかしらむ,あききりの,たえまにみゆる,あさかほのはな
しらくもの,ゆふゐるやまそ,なかりける,つきをむかふる,よものあらしに
あまつそら,うきくもはらふ,あきかせに,くまなくすめる,よはのつきかな
さらしなや,をはすてやまの,たかねより,あらしをわけて,いつるつきかけ
いにしへも,あらしとそおもふ,あきのよの,つきのためしは,こよひなりけり
あまのはら,おもへはかはる,いろもなし,あきこそつきの,ひかりなりけれ
あしひきの,やまのあらしに,くもきえて,ひとりそらゆく,あきのよのつき
みるままに,いろかはりゆく,ひさかたの,つきのかつらの,あきのもみちは
あまつそら,こよひのなをや,をしむらむ,つきにたなひく,うきくももなし
かそへねと,あきのなかはそ,しられぬる,こよひににたる,つきしなけれは
あけはまた,あきのなかはも,すきぬへし,かたふくつきの,をしきのみかは
やまのはの,つらさはかりや,のこるらむ,くもよりほかに,あくるつきかけ
いつくにか,そらゆくくもの,のこるらむ,あらしまちいつる,やまのはのつき
まちえても,こころやすむる,ほとそなき,やまのはふけて,いつるつきかけ
そてのうへに,つゆおきそめし,ゆふへより,なれていくよの,あきのつきかけ
わけぬるる,のはらのつゆの,そてのうへに,まつしるものは,あきのよのつき
まつのとを,おしあけかたの,やまかせに,くももかからぬ,つきをみるかな
あつまより,けふあふさかの,やまこえて,みやこにいつる,もちつきのこま
おきつかせ,ふけひのうらに,よるなみの,よるともみえす,あきのよのつき
むらくもの,みねにわかるる,あととめて,やまのはつかに,いつるつきかけ
わかのうら,あしへのたつの,なくこゑに,よわたるつきの,かけそひさしき
すまのあまの,まとほのころも,よやさむき,うらかせなから,つきもたまらす
あかしかた,あまのたくなは,くるるより,くもこそなけれ,あきのつきかけ
しつのをの,かとたのいねの,かりにきて,あかてもけふを,くらしつるかな
いととしく,ものおもふやとを,きりこめて,なかむるそらも,みえぬけさかな
よはにたく,かひやかけふり,たちそひて,あさきりふかし,をやまたのはら
もしほやく,けふりもきりに,うつもれぬ,すまのせきやの,あきのゆふくれ
けふりたに,それともみえぬ,ゆふきりに,なほしたもえの,あまのもしほひ
ふみわけむ,ものともみえす,あさほらけ,たけのはやまの,きりのしたつゆ
をくらやま,ふもとをこむる,ゆふきりに,たちもらさるる,さをしかのこゑ
あきのよの,あまてるつきの,ひかりには,おくしらつゆを,たまとこそみれ
さらしなや,をはすてやまに,たひねして,こよひのつきを,むかしみしかな
あきのつき,いかなるものそ,わかこころ,なにともなきに,いねかてにする
あきのよの,つゆおきまさる,くさむらに,かけうつりゆく,やまのはのつき
いつとなく,なかめはすれと,あきのよの,このあかつきは,ことにもあるかな
つきゆゑに,なかきよすから,なかむれと,あかすもをしき,あきのそらかな
うきよをも,あきのすゑはの,つゆのみに,おきところなき,そてのつきかけ
ありあけの,つきのひかりの,さやけきは,やとすくさはの,つゆやおきそふ
みむろやま,したくさかけて,おくつゆに,このまのつきの,かけそうつろふ
まきのとの,ささてありあけに,なりゆくを,いくよのつきと,とふひともなし
みをあきの,わかよやいたく,ふけぬらむ,つきをのみやは,まつとなけれと
かきりあれは,あけなむとする,かねのおとに,なほなかきよの,つきそのこれる
かせさむみ,つきはひかりそ,まさりける,よものくさきの,あきのくれかた
いくめくり,すきゆくあきに,あひぬらむ,かはらぬつきの,かけをなかめて
あきのよは,ものおもふことの,まさりつつ,いととつゆけき,かたしきのそて
あきのよを,あかしかねては,あかつきの,つゆとおきゐて,ぬるるそてかな
かたをかの,もりのこのはも,いろつきぬ,わさたのおしね,いまやからまし
からころも,ほせとたもとの,つゆけきは,わかみのあきに,なれはなりけり
あきたもる,ひたのいほりに,しくれふり,わかそてぬれぬ,ほすひともなし
あきふかき,もみちのいろの,くれなゐに,ふりいてつつなく,しかのこゑかな
かりにのみ,くるきみまつと,ふりいてつつ,なくしかやまは,あきそかなしき
あきはきの,うつろふをしと,なくしかの,こゑきくやまは,もみちしにけり
くものゐる,こすゑはるかに,きりこめて,たかしのやまに,しかそなくなる
うへしこそ,このころものは,あはれなれ,あきはかりきく,さをしかのこゑ
みねになく,しかのねちかく,きこゆなり,もみちふきおろす,よはのあらしに
わかいほは,をくらのやまの,ちかけれは,うきよをしかと,なかぬひそなき
おほえやま,はるかにおくる,しかのねは,いくのをこえて,つまをこふらむ
おほかたの,あきをあはれと,なくしかの,なみたなるらし,のへのあさつゆ
さをしかの,あさゆくたにの,うもれみつ,かけたにみえぬ,つまをこふらむ
さをしかの,なくねもいたく,ふけにけり,あらしののちの,やまのはのつき
いつれをか,わきてをるへき,つきかけに,いろみえまかふ,しらきくのはな
つきかけに,をりまとはるる,しらきくは,うつろふいろや,くもるなるらむ
かけみえて,みきはにたてる,しらきくは,をられぬなみの,はなかとそみる
つきかけに,いろもわかれぬ,しらきくは,こころあてにそ,をるへかりける
つきかけに,かをるはかりを,しるしにて,いろはまかひぬ,しらきくのはな
ぬれてをる,そてのつきかけ,ふけにけり,まかきのきくの,はなのうへのつゆ
わかやとの,きくのあさつゆ,いろもをし,こほさてにほへ,にはのあきかせ
なくなくも,ゆきてはきぬる,はつかりの,なみたのいろを,しるひとそなき
わたのはら,やへのしほちに,とふかりの,つはさのなみに,あきかせそふく
つきになく,かりのはかせの,さゆるよに,しもをかさねて,うつころもかな
あらしふく,とほやまかつの,あさころも,ころもよさむの,つきにうつなり
ころもうつ,きぬたのおとを,きくなへに,きりたつそらに,かりそなくなる
からころも,うつこゑきけは,つききよみ,またねぬひとを,そらにしるかな
ころもうつ,ひひきはつきの,なになれや,さえゆくままに,すみのほるらむ
かせさむき,よはのねさめの,とことはに,なれてもさひし,ころもうつこゑ
いまこむと,たのめしひとや,いかならむ,つきになくなく,ころもうつなり
つきのいろも,さえゆくそらの,あきかせに,わかみひとつと,ころもうつなり
ひとりねの,よさむになれる,つきみれは,ときしもあれや,ころもうつこゑ
しろたへの,つきのひかりに,おくしもを,いくよかさねて,ころもうつらむ
しろたへの,ゆふつけとりも,おもひわひ,なくやたつたの,やまのはつしも
たむけやま,もみちのにしき,ぬさはあれと,なほつきかけの,かくるしらゆふ
おきまよふ,しののはくさの,しものうへに,よをへてつきの,さえわたるかな
あきのあらし,ふきにけらしな,とやまなる,しはのしたくさ,いろかはるまて
ひをへては,あきかせさむみ,さをしかの,たちののまゆみ,もみちしにけり
あきのいろの,うつろひゆくを,かきりとて,そてにしくれの,ふらぬひはなし
あきのゆく,のやまのあさち,うらかれて,みねにわかるる,くもそしくるる
かりなきて,さむきあさけの,つゆしもに,やののかみやま,いろつきにけり
やまさとは,あきのすゑにそ,おもひしる,かなしかりけり,こからしのかせ
かきりあれは,いかかはいろの,まさるへき,あかすしくるる,をくらやまかな
くれなゐの,やしほのをかの,もみちはを,いかにそめよと,なほしくるらむ
みなとかは,あきゆくみつの,いろそこき,のこるやまなく,しくれふるらし
あしひきの,やまとにはあらぬ,からにしき,たつたのしくれ,いかてそむらむ
わかやとは,かつちるやまの,もみちはに,あさゆくしかの,あとたにもなし
しくれゆく,そらたにあるを,もみちはの,あきはくれぬと,いろにみすらむ
あきこそあれ,ひとはたつねぬ,まつのとを,いくへもとちよ,つたのもみちは
しくれつつ,そてたにほさぬ,あきのひに,さこそみむろの,やまはそむらめ
つゆしくれ,そめはててけり,をくらやま,けふやちしほの,みねのもみちは
いくとせか,ふるのかみすき,しくれつつ,よものもみちに,のこりそめけむ
しくれけむ,ほとこそみゆれ,かみなひの,みむろのやまの,みねのもみちは
そめのこす,こすゑもあらし,むらしくれ,なほあかなくの,やまめくりかな
ふるさとの,みかきかはらの,はしもみち,こころとちらせ,あきのこからし
すそのより,みねのこすゑに,うつりきて,さかりひさしき,あきのいろかな
このもとに,またふきかへせ,からにしき,おほみやひとに,みまししかせむ
あらしふく,ふなきのやまの,もみちはは,しくれのあめに,いろそこかるる
たつたかは,みむろのやまの,ちかけれは,もみちをなみに,そめぬひそなき
おきてゆく,あきのかたみや,これならむ,みるもあたなる,つゆのしらたま
ゆくあきの,たむけのやまの,もみちはは,かたみはかりや,ちりのこるらむ
こからしの,さそひはてたる,もみちはを,かはせのあきと,たれなかむらむ
あきはけふ,くれなゐくくる,たつたかは,ゆくせのなみも,いろかはるらむ
あすよりの,なこりをなにに,かこたまし,あひもおもはぬ,あきのわかれち
すきはてぬ,いつらなかつき,なのみして,みしかかりける,あきのほとかな
かみなつき,しくれにあへる,もみちはの,ふかはちりなむ,かせのまにまに
いつもなほ,ひまなきそてを,かみなつき,ぬらしそふるは,しくれなりけり
わひひとや,かみなつきとは,なりにけむ,なみたのことく,ふるしくれかな
ちちのいろに,いそきしあきは,すきにけり,いまはしくれに,なにをそめまし
つゆはかり,そてたにぬれす,かみなつき,もみちはあめと,ふりにふれとも
からにしき,むらむらのこる,もみちはや,あきのかたみの,ころもなるらむ
のこしおく,あきのかたみの,からにしき,たちはてつるは,こからしのかせ
みつのおもに,うかへるいろの,ふかけれは,もみちをなみと,みつるけふかな
おほゐかは,うかふもみちの,にしきをは,なみのこころに,まかせてやたつ
もみちはの,なかれもやらぬ,おほゐかは,かはせはなみの,おとにこそきけ
