さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
おもひいる,みやまかくれの,こけのそて,かすならすとて,おかぬつゆかは
ひとよりも,したふこころは,きみもさそ,あはれとこけの,したにみるらむ
あはれなり,わかみにちかき,とりへのの,けふりをよそに,いつまてかみむ
おくれしと,おもふこころや,なきひとの,まよふやみちの,ともとなるらむ
あとをとふ,ひとたになくは,ともちとり,しらぬうらちに,なほやまよはむ
おもひきや,このあきまてに,なれなれて,いまなきあとを,とはむものとは
ゆきとまる,いつくをつひの,やととてか,とへともひとに,ちきりおくへき
いきてこそ,あるにもあらぬ,みなりとも,なきひとかすに,いつかとはれむ
とはすとて,おろかなるにや,おもふらむ,こころをかへて,なけきこしみを
とはれぬも,なけきにそへて,つらかりき,こころをかふる,ほとをしらねは
かねてなと,いとふこころの,なかるらむ,つひにゆくへき,みちときけとも
きみもまた,ちきりありてや,たかのやま,そのあかつきを,ともにまつらむ
つひにゆく,みちをまことの,わかれにて,うきよにさらは,かへらすもかな
をしめとも,さらぬならひの,いのちにて,うきはこのよの,わかれなりけり
かきりそと,きくそかなしき,あたしよの,わかれはさらぬ,ならひなれとも
かくつらき,わかれもしらて,あたしよの,ならひとはかり,なにおもふらむ
たらちねの,ありしそのよに,あはれなと,おもふはかりも,つかへさりけむ
あふさかの,せきにはあらて,しるしらす,つひにゆくなる,みちそかなしき
きのふまて,かけとたのみし,さくらはな,ひとよのゆめの,はるのやまかせ
かなしさの,きのふのゆめに,くらふれは,うつろふはなも,けふのやまかせ
さもこそは,みやまかくれの,はるならめ,うきよもしらぬ,はなのいろかな
すみそめに,さかぬもつらし,やまさくら,はなはなけきの,ほかのものかは
はきかはな,おなしにほひに,さきにけり,うかりしあきの,つゆもさなから
みるたひに,つゆけさまさる,はきかはな,をりしりかほに,なににほふらむ
かくはかり,なきあとしのふ,ひともあらし,わかよののちの,あきのやまさと
やまさとは,そてのもみちの,いろそこき,むかしをこふる,あきのなみたに
きえぬまも,みるそはかなき,なきひとの,むかしのあとに,つもるしらゆき
あとしのふ,こころをいかて,あらはさむ,かかるみのりの,しるへならすは
おほゐかは,ゆくせのなみも,おなしくは,むかしにかへれ,きみかかけみむ
はかなくも,これをかたみと,なくさめて,みにそふものは,なみたなりけり
あるよにも,かくやはそひし,おもかけの,たちもはなれぬ,きのふけふかな
うかりける,はるのわかれと,おもふにも,なみたにくるる,けふのかなしさ
かけてたに,おもひやはせし,あやめくさ,なかからぬよの,かたみなれとも
なかはなる,つきのかつらの,おもかけを,おもひいててや,かきくもるらむ
かきくもる,なみたもかなし,いまさらに,なかはのつきは,そてにやとさし
めくりあふ,こそのこよひの,つきみてや,なきおもかけを,おもひいつらむ
こよひとて,なみたのひまは,なきものを,いかなるひとの,つきをみるらむ
めくりあふ,これやむかしの,あとそとも,いつかみやこの,つきにみるへき
たらちねの,おやのみしよの,あきならは,つきにもそては,しほらさらまし
こひしのふ,むかしのあきの,つきかけを,こけのたもとの,なみたにそみる
ふりにける,としのみとせの,あきのあめ,さらにゆふへの,そらそかなしき
もろともに,みしよのあきの,おもかけも,わすれぬつきに,ねをのみそなく
いまさらに,かなしきものは,とほさかる,わかれののちの,つきひなりけり
わかれにし,のちのみとせの,はるのつき,おもかけかすむ,よはそかなしき
かすむよの,そらよりもなほ,すみそめの,そてにそくもる,はるのつきかけ
さこそけに,ゆめのわかれの,かなしさは,わするるまなき,うつつなるらめ
なにとまた,おとろかすらむ,うつつとは,おもひもわかぬ,ゆめのわかれち
おとろかす,きみによりてそ,なかきよの,ひさしきゆめは,さむへかりける
おとろかぬ,こころなりせは,よのなかを,ゆめそとかたる,かひなからまし
なにかその,ひとのあはれも,よそならむ,うきよのほかに,すまぬみなれは
くれたけの,うきひとふしに,みはすてつ,まぬいかさまに,よをそむかまし
もろともに,ゆくへきみちに,さきたちて,さためなきよの,しるへをそする
みにしれは,くもゐのかりの,ひとつらも,おくれさきたつ,ねをやなくらむ
こととへよ,たれかしのはむ,ほとときす,なからむあとの,やとのたちはな
このよにて,かたらひおかむ,ほとときす,してのやまちの,しるへともなれ
あしひきの,やまほとときす,けふしこそ,むかしをこふる,ねにはなくらめ
さみたれの,ひかすはよそに,すきなから,はれぬなみたや,そてぬらすらむ
なそもかく,つゆのいのちと,いひおきて,きゆれはひとの,そてぬらすらむ
はかなくも,きえのこりては,なけくかな,たれもゆくへき,みちしはのつゆ
なにとして,うきみひとつの,のこるらむ,おなしむかしの,ひとはなきよに
きみゆゑと,みにをしまれし,いのちこそ,おくれてのこる,けふはつらけれ
たらちねの,さらぬわかれの,なみたより,みしよわすれす,ぬるるそてかな
わかみいかに,するかのやまの,うつつにも,ゆめにもいまは,とふひとのなき
こけのしたに,うつもれぬなを,のこしつつ,あととふそてに,つゆそこほるる
かめのをの,いはねをおつる,しらたまの,かすかきりなき,ちよのゆくすゑ
きみかすむ,かめのをやまの,たきつせは,ちよをこころに,さそまかすらむ
つかへこし,ふるきなかれの,いけみつに,なほちよまてと,まつかせそふく
ちとせまて,こかたきかけの,たねしあれは,いはにそみゆる,まつのゆくすゑ
いはのうへに,かねてうゑける,たねしあれは,ちとせのまつも,ためしとそみる
きみかよの,ためしになにを,おもはまし,かはらぬまつの,いろなかりせは
まつのはな,とかへりさける,きみかよに,なにをあらそふ,つるのよはひそ
ふたはなる,ねのひのこまつ,ゆくすゑに,はなさくまては,きみそみるへき
かすかのの,ねのひのまつに,ちきりおかむ,かみにひかれて,ちよふへきみは
はるののの,はつねのまつの,わかはより,さしそふちよの,かけはみえけり
かすかやま,めくみもしるき,まつかえに,さこそさかえめ,きたのふちなみ
あさゆふに,ちとせのこゑそ,きこえける,まつとたけとに,かよふあらしは
このころは,あきつしまひと,ときをえて,きみかひかりの,つきをみるかな
しほのやま,さしてのいその,あきのつき,やちよすむへき,かけそみえける
みかさやま,いのるこころの,くもらねは,つきひとともに,ちよやめくらむ
いくちよそ,そてふるやまの,みつかきも,およはぬいけに,すめるつきかけ
ちちのあき,さやけきつきの,かけまても,かしこきみよに,すめるいけみつ
きみかため,くもらぬかけに,すむつきの,さやかにちよの,あきそしらるる
ちとせとも,かきらぬみよの,ためしとや,あきをちきりて,つきもすむらむ
もろともに,おなしくもゐに,すむつきの,なれてちとせの,あきそひさしき
いくちよも,かくこそはみめ,すむつきの,かけもくもらぬ,あきのゆくすゑ
さきにけり,きみかみるへき,ゆくすゑは,とほさとをのの,あきはきのはな
ひさしかれ,なひくいなはの,すゑまても,とはたのおもの,よよのあきかせ
きくのつゆ,つもりてふちと,なるまてに,おいせぬはなを,きみのみそみむ
きみかよに,にほふやまちの,しらきくは,いくたひつゆの,ぬれてほすらむ
あたらしき,はるをちかしと,さきくさの,みつはよつはそ,かねてしらるる
たのむかな,はるときみとし,まちかくは,みつはよつはの,ちよのとなりを
うつろはて,よろつよにほへ,やまさくら,はなもときはの,やとのしるしに
みなかみも,すゑもはるけし,おほゐかは,きみすむやとの,たえぬなかれに
あしたつの,くもゐにかよふ,こゑのうちに,かねてもしるし,ちよのゆくすゑ
くさかえの,いりえのたつも,もろこゑに,ちよにやちよと,そらになくなり
なみのうへに,くすりもとめし,ひともあらは,はこやのやまに,みちしるへせよ
つくつゑに,むそちこえゆく,ことしより,ちとせのさかの,すゑそひさしき
としへぬる,おいきのはなも,このはるの,みゆきにあひて,ちよやかさねむ
ここのそち,ふるかひありて,きみかため,けふのみゆきも,よろつよのはる
ももとせに,きみかななそち,あひにあひて,ともにやちよの,はるやまつらむ
いはひそむる,けふをやちよの,はしめにて,ちきるよはひの,すゑそはるけき
よよのあとに,なほたちこゆる,おいのなみ,よりけむとしは,けふのためかも
あめのした,のとけかるへし,なにはかた,たみののしまに,みそきしつれは
かみよより,いのるまことの,しるしには,いはとのやまの,さかきをそとる
たまつはき,かはらぬいろを,わかよとて,みかみのやまそ,ときはなるへき
さかきとる,みかみのやまに,ゆふかけて,いのるひつきの,なほやさかえむ
おのつから,かけてもそてに,しらすなよ,いはせのもりの,あきのしらつゆ
ふしのねも,たちそふくもは,あるものを,こひのけふりそ,まかふかたなき
はまちとり,かよふはかりの,あとはあれと,みぬめのうらに,ねをのみそなく
わかせこを,まつらのやまの,くすかつら,たまさかにたに,くるよしもなし
よなよなの,まくらのちりに,よそへても,しらせやせまし,つもるうらみを
このたひは,かへりこむとも,いそかれす,いなはのやまの,まつひともなし
かきりなく,とほくなりゆく,みやこかな,すみたかはらの,わたりしてけり
ひとこゑも,かかるうきみに,うれしきは,すてぬほとけの,ちかひなりけり
かへるかり,たかならはしの,つらさより,みやこのはるに,わかれそめけむ
うはたまの,よはのまくらに,おくしもの,かさなるままに,みこそふりぬれ
