さみたれは,いりえのまこも,かりにこし,わたりもみえす,なりにけるかな
けふみれは,かはなみたかし,みよしのの,むつたのよとの,さみたれのころ
さみたれに,やそうちかはを,みわたせは,あしろやいつく,せせのうもれき
くもくらき,まきのをやまの,さみたれに,やそうちかはは,みつまさるらし
さみたれの,ふるのたかはし,たかしとも,みかさまさりて,みえぬころかな
なとりかは,せせのうもれき,うきしつみ,あらはれてゆく,さみたれのころ
はれやらて,ふるさみたれに,あすかかは,ふちはせになる,ひまやなからむ
ふちはせに,かはるならひも,あすかかは,きこえぬみよの,さみたれのころ
さみたれの,くものとたえの,ゆふひかけ,さすかはれまと,みゆるそらかな
さしもくさ,さしもひまなき,さみたれに,いふきのたけの,なほやもゆらむ
さみたれに,ふしのなるさは,みつこえて,おとやけふりに,たちまさるらむ
ときしらぬ,やまほとときす,さつきまて,ゆきにやふしの,ねををしむらむ
あやにくに,はつねまたれし,ほとときす,さつきはおのか,ときとなくなり
あやにくに,きくへきつきは,かさなれと,やまほとときす,おとつれもせす
さつきやま,ゆすゑふりたて,ともすひに,しかやはかなく,めをあはすらむ
ともしする,さつをのまゆみ,はるはると,かへるやまちの,すゑそあけゆく
ともしすと,いりにしやまの,ふかけれは,あけてもかへる,みちやたとらむ
ともしすと,つゆわけころも,たちぬれて,こよひもあかす,みやきののはら
くるるより,つゆとみたれて,なつくさの,しけみにしけく,とふほたるかな
いしはしる,たきのしらいと,よるよるは,たまぬきちらし,とふほたるかな
とふほたる,おもひはふしと,なるさはに,うつるかけこそ,もえはもゆらめ
ひさかたの,つきのかつらの,ちかけれは,ほしとそみゆる,せせのかかりひ
よかはたつ,うふねのかかり,さしもなと,またるるつきの,かけいとふらむ
おほゐかは,せせのうふねの,かすかすに,うきてそもゆる,かかりひのかけ
うかひふね,うきてかかりの,みえゆくや,たつかはきりの,たえまなるらむ
ひとりのみ,ぬるとこなつの,つゆけさは,なみたにさへや,いろをそふらむ
われのみは,あはれともいはし,たれもみよ,ゆふつゆかかる,やまとなてしこ
のへにおく,おなしつゆとも,みえぬかな,はすのうきはに,やとるしらたま
みなかみは,ゆふたちすらし,やまかはの,いはねにあまる,たきのしらなみ
かつらきや,たかまのやまに,ゐるくもの,よそにもしるき,ゆふたちのそら
ゆふたちの,なこりひさしき,しつくかな,しのたのもりの,ちえのしたつゆ
ひとかたに,ききのこのはを,ふきかへし,ゆふたちおくる,かせそすすしき
なるかみの,おとほのかなる,ゆふたちの,くもるかたより,かせそはけしき
くもかかる,ゆふひはそらに,かけろふの,をののあさちふ,かせそすすしき
くさふかき,まかきのつゆを,つきにみて,あきのこころそ,かねておほゆる
くれたけの,よをへてあきや,ちかからむ,はわけのかせの,おとそすすしき
なつころも,たちよるそての,すすしさに,むすはてかへる,やまのゐのみつ
