さそなけに,はなたちはなも,にほふらむ,むかしにかへる,ももしきのには
かをとめて,むかしにかへれ,いへのかせ,ふきつたへたる,のきのたちはな
たちはなの,はなのやととふ,ほとときす,かれなていまも,むかしこふなり
たかために,なくやさつきの,ゆふへとて,やまほとときす,なほまたるらむ
きくたひに,みにそしみける,ほとときす,こゑはいろなる,ものならなくに
いまははや,ききふりぬへき,さみたれの,そらにもあかぬ,ほとときすかな
さみたれの,くもゐにたかき,ほとときす,つきのかつらの,かけしたふらし
わするなよ,またこむとしも,ほとときす,のきのあやめの,さみたれのそら
さみたれに,みたれてひとを,おもふとて,なつのよをさへ,あかしかねつる
かきくもり,ふるさみたれの,つれつれと,はるるひまなき,ころにもあるかな
さみたれの,そらかきくらす,ときしもあれ,なほこそさらせ,ぬのひきのたき
つゆにたに,みかさといひし,みやきのの,このしたくらき,さみたれのころ
さみたれは,さはへのまこも,いたつらに,かりそめならぬ,なみやこすらむ
みつこゆる,いけのうきくさ,ねをたえて,さそはれいつる,さみたれのころ
つつゐつつ,ゐつつのうへに,みつこえて,むすふもあさし,さみたれのころ
なかれあしの,すゑはもみえす,なりにけり,をののみなとの,さみたれのころ
ふちはせに,かはるとききし,あすかかは,たかいつはりそ,さみたれのころ
さみたれに,みつまさるなり,あすかかは,いかにふちせの,またかはるらむ
ありてゆく,みかさそたかき,みなせかは,なになかれたる,さみたれのころ
さみたれに,かはおとたかく,なりにけり,みつのみかさの,まさるのみかは
さみたれに,たのむつなても,くちはてて,なみにひかるる,よとのかはふね
ひさかたの,くものなみこす,たきのうへの,みふねのやまの,さみたれのころ
さみたれの,くもよりうへの,あまのかは,いかにふりてか,みつまさるらむ
いつみかは,とほきわたりの,つきかけに,こゑをつくして,なくほとときす
ほとときす,なこりのこゑを,したふまに,またてそみつる,いさよひのつき
ふりにける,こゑをのこして,ほとときす,なほみなつきの,そらになくなり
ともしする,さつきのやまの,あをつつら,くるるよことに,しかやたつらむ
あつさゆみ,いるさのやまの,ゆふやみに,つきよりさきと,ともしをそする
なつやまの,しかのたちとに,よもすから,おもひをかけて,あくるしののめ
ともしする,はやまのほくし,よもすから,もゆるやしかの,おもひなるらむ
ねにたてす,もゆるほたるや,おもひせく,こころのたきの,たまとみゆらむ
よるひかる,たまとそみゆる,みつくらき,あしへのなみに,ましるほたるは
みつのおもに,おのかおもひを,かつみつつ,かけはなれぬや,ほたるなるらむ
せりつみし,ひとのおもひや,さはみつに,もえてほたるの,かけとなりけむ
なかれえの,いせのはまをき,うちそよき,すすしきかせに,とふほたるかな
くさふかき,つゆよりしけく,とふほたる,きえぬひかりそ,かせにみたるる
なつくさの,ことしけくとも,たまほこの,みちたかはすは,ひともまよはし
とこなつの,はななかりせは,やまかつの,かきほにひとは,たつねさらまし
さととほき,わかすむかたの,うかひふね,ほしかかはへの,かかりひのかけ
うふねこく,よかはのなみの,おとふけて,うつるもすすし,かかりひのかけ
おほゐかは,やまもとくたる,かかりひの,うつりもあへす,あくるみしかよ
あまのかは,くものみをゆく,つきかけは,のこりてはやく,あくるみしかよ
ひさかたの,くものいつくの,かけならて,このまあけゆく,みしかよのつき
いつかたも,やまのはとほき,なかそらの,くもまにあくる,みしかよのつき
あけやすき,そらにのこりて,なつのよは,いることしらぬ,つきのかけかな
なかそらに,なほのこらすは,みしかよを,つきのとかとや,おもひはてまし
いつくにか,しはしすくさむ,たかしまの,かちのにかかる,ゆふたちのそら
なるかみの,おとはそことも,なかりけり,くもれるかたや,ゆふたちのそら
なつころも,すすしくたちぬ,うつせみの,はかひのやまの,まつのしたかせ
ここのへの,にはのくれたけ,ふくかせも,きよくすすしき,こゑかよふなり
むすふての,いしまをせはみ,おくやまの,いはかきしみつ,あかすもあるかな
したくくる,みつにあきこそ,かよふらし,むすふいつみの,てさへすすしき
やましろの,ゐてのしたおひ,なかきひに,むすふもあかぬ,たまかはのみつ
おほゐかは,またなつなから,すすしきは,ゐせきにあきや,もりてきつらむ
またきより,なみのしからみ,かけてけり,みそきまつまの,かものかはかせ
みそきかは,きよきなかれに,うつすなり,ならのみやこの,ふるきためしを
みたらしや,みそきになかす,おほぬさの,つひによるせは,あきかせそふく
みそきする,あさのはすゑの,なひくより,ひとのこころに,かよふあきかせ
しらてこそ,あるへかりけれ,あききぬと,をきふくかせの,おとにたてすは
かせわたる,のきはにそよく,くれたけの,ひとよのうちに,あきそきにける
からころも,つまふくかせの,みにしむは,うらさひしかる,あきやきぬらむ
けさのあさけ,たもとすすしき,かせたちて,いとはやあきの,しられぬるかな
あさまたき,あきかせふけは,せみのはの,うすきころもそ,すすしかりける
このねぬる,あさけのつゆに,そてぬれて,わかためつらき,あきはきにけり
あはれしる,あきのゆふへの,しらつゆは,たかそてよりか,おきはしめけむ
よひよひに,あきのくさはに,おくつゆは,たまにぬかむと,とれはきえつつ
しらつゆは,けなはけななむ,きえすとて,たまにぬくへき,ひともあらしを
たかぬける,たまにかあるらむ,あきののの,くさはのこらす,むすふしらつゆ
つゆむすふ,したくさみれは,さくらあさの,をふのかりふに,あきはきにけり
ふきむすふ,かせよりやかて,みたれけり,しけるあさちの,あきのしらつゆ
おとたえす,のきはのをきの,そよくかな,いつふくかせの,なこりなるらむ
ふるさとは,のきはのをきを,かことにて,ねぬよのとこに,あきかせそふく
おとたつる,かせのやとりと,なりはてて,つゆにはうとき,にはのをきはら
なほさりに,ほすゑをむすふ,をきのはの,おともせてなと,ひとのすきけむ
ほしやらぬ,なみたのつゆの,かすそへて,ものおもふそてに,あきはきにけり
あきをまつ,としのわたりは,とほけれと,ちきりそたえぬ,かささきのはし
まちわたる,たえまはとほき,つきひにて,けふのみかよふ,かささきのはし
あふせをや,たとらすわたる,ゆふつくよ,ひかりさしそふ,かささきのはし
あまのかは,あきをちきりし,ことのはや,わたすもみちの,はしとなるらむ
わすれすよ,たむけのにはの,つゆとおく,たまのをことの,よよのしらへは
たなはたは,われてまたあふ,かかみかと,あきのなぬかの,つきやみるらむ
あまのはら,ふりさけみれは,たなはたの,ほしのやとりに,きりたちわたる
あまのかは,よふかくきみは,わたるとも,ひとしれすとは,おもはさらなむ
あまのかは,こひしきときそ,わたりぬる,たきつなみたに,そてはぬれつつ
ふけぬるか,みつかけくさの,うちなひき,すすしくなりぬ,あまのかはかせ
あまのかは,かはへのきりの,ふかきよに,つまむかへふね,いまかいつらし
たなはたの,あまのいはふね,こよひこそ,あきかせふきて,まほにあふらめ
あまのかは,そのみなかみは,きはむとも,あふせははても,あらしとそおもふ
かつらきの,かみならねとも,あまのかは,あくるわひしき,かささきのはし
あけゆけは,あまのかはなみ,たちかへり,のちのあふせや,なほちきるらむ
あまのかは,ひとよはかりの,あふせこそ,つらきかみよの,うらみなるらめ
たなはたの,いほはたころも,まれにきて,かさねもあへぬ,つまやうらみむ
たなはたの,いほはたころも,おくつゆに,ぬれてかさぬる,あきはきにけり
たなはたの,くものころもは,たたひとよ,かさねてうとく,なるつきひかな
たなはたは,うきておもひや,まさるらむ,たつかはきりの,けさのわかれに
わかれちの,かたみもとめす,ゆふつくよ,あかつきやみの,ほしあひのそら
としことに,まつもすくすも,わひしきは,あきのはしめの,なぬかなりけり
わかれては,わひしきものを,ひこほしの,きのふけふこそ,おもひやらるれ
つゆふかき,あしたのはらの,はなすすき,たかかへるさの,たもとなるらむ
ふきむすふ,のへのをはなの,あきかせに,つゆのみたれぬ,そてやなからむ
あきかせに,をはななみよる,わかやとそ,やまさとよりも,つゆけかりける
かせはらふ,うつらのとこは,よさむにて,つきかけさひし,ふかくさのさと
あさちふの,をののしのはら,いろつきて,つゆしもさむみ,うつらなくなり
とにかくに,そてやすからぬ,ゆふへかな,なみたあらそふ,あきのしらつゆ
ゆふくれの,なみたにそはぬ,つゆならは,あきのあはれの,ほとはみてまし
つゆやそふ,おもひやまさる,わかそての,なみたそたえぬ,あきのゆふくれ
うかりける,たかならはしの,ゆふへより,あきはなみたの,つゆこほるらむ
いひしらぬ,おもひもそれと,なかりけり,むなしきそらの,あきのゆふくれ
わすれすよ,ふみならしてし,みよしのの,いはのかけちの,あきのゆふくれ
しなかとり,ゐなののをささ,うちなひき,しのにふきしく,あきのゆふかせ
いかにせむ,なけかしとても,かなしさの,こころにあまる,あきのゆふくれ
ときわかぬ,わかみとなにか,おもひけむ,なけきくははる,あきのゆふくれ
あはれしる,わかこころなる,ゆふくれを,あきのならひと,おもひけるかな
としことに,おほみやひとの,くるのへは,あきのさかとや,はなもみるらむ
いほしめて,いまこそにはと,なりにけれ,やまのをのへの,あきはきのはな
つゆわくる,そてにそうつる,むらさきの,いろこきのへの,はきかはなすり
あきかせに,みたれにけりな,みちのくの,しのふにはあらぬ,はきかはなすり
いくたひか,さかりみすらむ,みやきのの,おなしふるえの,あきはきのはな
つゆなから,をるへきものを,みやきのの,もとあらのはきに,あきかせそふく
つゆなから,ちくさふきしく,あきかせに,みたれてまさる,はなのいろかな
たとふへき,かたこそなけれ,わきもこか,ねくたれかみの,あさかほのはな
つゆふかき,きりのまかきの,あさほらけ,しをれそまさる,はなのいろいろ
あさことに,つかふるみちの,ふちはかま,かさねてにほふ,あきのしらつゆ
しらつゆの,おくとみしより,さくはなの,いろのちくさに,のはなりにけり
