こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
うくひすは,はなのみやこも,たひなれは,たにのふるすを,わすれやはする
よをかさね,しもとともにし,おきゐれは,ありしはかりの,ゆめたにもみす
あふことも,わかこころより,ありしかは,こひはしぬとも,ひとはうらみし
くみみてし,こころひとつを,しるへにて,のなかのしみつ,わすれやはする
あさちふに,けさおくつゆの,さむけくに,かれにしひとの,なそやこひしき
わすらるる,みはことわりと,しりなから,おもひあへぬは,なみたなりけり
いまよりは,とへともいはし,われそたた,ひとをわするる,ことをしるへき
さりとては,たれにかいはむ,いまはたた,ひとをわするる,こころをしへよ
またしらぬ,ことをはいかか,をしふへき,ひとをわするる,みにしあらねは
いくかへり,つらしとひとを,みくまのの,うらめしなから,こひしかるらむ
ゆふくれは,またれしものを,いまはたた,ゆくらむかたを,おもひこそやれ
わすらるる,ひとめはかりを,なけきにて,こひしきことの,なからましかは
はるかすみ,かすめるかたや,つのくにの,ほのみしまえの,わたりなるらむ
すまのうらに,やくしほかまの,けふりこそ,はるにしられぬ,かすみなりけれ
なみたてる,まつのしつえを,くもてにて,かすみわたれる,あまのはしたて
なかゐすな,みやこのはなも,さきぬらむ,われもなにゆゑ,いそくつなてそ
このもとを,すみかとすれは,おのつから,はなみるひとと,なりぬへきかな
ちらぬまに,いまひとたひも,みてしかな,はなにさきたつ,みともこそなれ
はるくれは,あちかたたのみ,ひとかたに,うくてふうをの,なこそをしけれ
みをしらて,ひとをうらむる,こころこそ,ちるはなよりも,はかなかりけれ
はるのこぬ,ところはなきを,しらかはの,わたりにのみや,はなはさくらむ
たれかこの,かすはさためし,われはたた,とへとそおもふ,やまふきのはな
かすかやま,きたのふちなみ,さきしより,さかゆへしとは,かねてしりにき
みまさかや,くめのさらやまと,おもへとも,わかのうらとそ,いふへかりける
わかのうらと,いふにてしりぬ,かせふかは,なみのたちこと,おもふなるへし
くもゐより,つらぬきかくる,しらたまを,たれぬのひきの,たきといひけむ
なにはえの,しけきあしまを,こくふねは,さをのおとにそ,ゆくかたをしる
おもひいても,なくてやわかみ,やみなまし,をはすてやまの,つきみさりせは
なにたかき,をはすてやまも,みしかとも,こよひはかりの,つきはなかりき
つきはいり,ひとはいてなは,とまりゐて,ひとりやわれか,そらをなかめむ
いけみつに,やとれるつきは,それなから,なかむるひとの,かけそかはれる
よのなかを,おもひないりそ,みかさやま,さしいつるつきの,すまむかきりは
つききよみ,たなかにたてる,かりいほの,かけはかりこそ,くもりなりけれ
すみのほる,つきのひかりに,さそはれて,くものうへまて,ゆくこころかな
いたまより,つきのもるをも,みつるかな,やとはあらして,すむへかりけり
くまもなく,しのたのもりの,したはれて,ちえのかすさへ,みゆるつきかけ
さひしさに,いへてしぬへき,やまさとを,こよひのつきに,おもひとまりぬ
ゆくひとも,あまのとわたる,ここちして,くものなみちに,つきをみるかな
きみまつと,やまのはいてて,やまのはに,いるまてつきを,なかめつるかな
いかなれは,まつにはいつる,つきなれと,いるをこころに,まかせさるらむ
こころみに,ほかのつきをも,みてしかな,わかやとからの,あはれなるかと
うらめしく,かへりけるかな,つきよには,こぬひとをたに,まつとこそきけ
