さくらはな,ちりたにせすは,おほかたの,はるををしとは,おもはさらまし
ゆくはるの,ひかすにはなも,うつりきて,のこりすくなき,やまさくらかな
いかにして,しはしととめむ,さくらはな,ちりなはなけの,はるのひかすを
ひとかたの,わかれをせめて,ととめはや,はなとはるとの,おなしなこりを
ゆくはるも,なほこのもとに,たちとまれ,にはのさくらの,ちりのまかひに
ちりかかる,はなをさそひて,ゆくみつの,かへらぬなみに,はるそくれぬる
ふきおろす,あらしのやまに,はるくれて,ゐせきにむせふ,はなのしらなみ
ちりかかる,はなのかけみし,やまのゐの,あかてもはるの,くれにけるかな
いたつらに,はるくれにけり,はなのいろの,うつるををしむ,なかめせしまに
はるをのみ,をしみしほとに,なつころも,たつひにはやく,なりにけるかな
きのふをは,はなのかけにて,くらしてき,けふこそいにし,はるはをしけれ
またちらぬ,はなにこころを,なくさめて,はるすきぬとも,おもはさりけり
あさひやま,ふもとのさとの,うのはなを,さらせるぬのと,おもひけるかな
かみまつる,うつきのはなも,さきにけり,やまほとときす,ゆふかけてなけ
すみのえの,まつはひさしき,ほとときす,とほさとをのに,ひとこゑもかな
はつねをは,わかかたになけ,ほとときす,ことうらにまつ,ひとはありとも
みやまいてむ,まつはつこゑは,ほとときす,よふかくまたむ,わかやとになけ
ほのかにも,きかぬかきりは,ほとときす,まつひとのみそ,ねられさりける
ほとときす,はつねまたるる,ときにこそ,みしかきよはも,あかしかねけれ
あけやすき,なつのよなれと,ほとときす,まつにいくたひ,ねさめしつらむ
まちかねて,まとろむよはの,ほとときす,ゆめならてきく,ひとこゑもなし
われならぬ,ひとにもかくや,ほとときす,さのみはつねの,つれなかるらむ
ほとときす,ひともきかすは,つれなさを,わかみひとつと,うらみさらまし
ひとことに,ききつとかたる,ほとときす,なとわかために,なほまたるらむ
たつねはや,しのふのやまの,ほとときす,こころのおくの,ことやかたると
ほとときす,なほいそかるる,はつねかな,みやこのひとの,きかぬさきにと
あたひとの,いつのちきりに,ならひけむ,またれてとはぬ,ほとときすかな
たのめおく,ときとはなしに,ほとときす,ゆふへはわきて,なほまたるらむ
はつこゑを,さてもやきくと,ほとときす,またてとしふる,ひとにとははや
