いろかはる,こはきかもとは,つゆちりて,あきののかせに,をしかなくなり
かたをかの,すそののくれに,しかなきて,こはきいろつく,あきかせそふく
あきはきの,さきてちりぬる,ゆふつゆに,なほたちぬれて,しかそなくなる
つまこふる,しかのなみたや,あきはきに,こほるるほとに,おけるしらつゆ
いかにふく,あきのゆふへの,かせなれは,しかのねなから,みにはしむらむ
よをさむみ,かりはのをのに,なくしかの,なれはまさらぬ,つまをこふらし
つゆにふす,のへのちくさの,あけほのに,おきぬれてゆく,さをしかのこゑ
あきかせに,とやまのしかは,こゑたてて,つゆふきむすふ,をののあさちふ
あきされは,やまのをのへに,こゑたてて,しかもゆふへは,ものやかなしき
たかさこの,まつのあらしは,よさむにて,つきにふけぬる,さをしかのこゑ
あしひきの,やまかせさむき,つきかけに,さよふけぬとや,しかのなくらむ
いろかはる,みをあきやまと,なくしかの,なみたもふかき,みねのあさきり
きりふかき,やまのをのへに,たつしかは,こゑはかりにや,ともをしるらむ
あききりの,そらになくなる,はつかりは,かすみしはるや,おもひいつらむ
いまよりの,ころもかりかね,あきかせに,たかよさむとか,なきてきぬらむ
いまよりは,くもゐのかりも,こゑたてて,あきかせさむく,なりまさるなり
とほさかる,こゑはかりして,ゆふくれの,くものいつくに,かりのなくらむ
ゆふされは,きりたつそらに,かりなきて,あきかせさむし,をののしのはら
かりなきて,ゆふきりたちぬ,やまもとの,わさたをさむみ,あきやきぬらむ
むらさめの,くものたえまに,かりなきて,ゆふひうつろふ,あきのやまのは
みわたせは,やまのすそのに,きりはれて,ゆふひにむかふ,まつのむらたち
とへかしな,ゆふきりうすき,すきのはの,たえたえのこる,あきのやまもと
しののめの,よこくもなから,たちこめて,あけもはなれぬ,みねのあききり
ふしみやま,ふもとのきりの,たえまより,はるかにみゆる,うちのかはなみ
あさほらけ,あらしのやまは,みねはれて,ふもとをくたる,あきのかはきり
ふねよする,をちかたひとの,そてみえて,ゆふきりうすき,あきのかはなみ
ほのほのと,わかすむかたは,きりこめて,あしやのさとに,あきかせそふく
まつほとの,そらにこころを,つくせとや,なほいてやらぬ,あきのよのつき
かたしきの,そてのあきかせ,さよふけて,なほいてかての,やまのはのつき
やまのはを,いててさやけき,つきになほ,ひかりをそへて,あきかせそふく
あまのはら,くもふきはらふ,あきかせに,やまのはたかく,いつるつきかけ
いつるより,くもふきはらふ,まつかせに,やかてくまなき,やまのはのつき
あしひきの,やまのはきよく,そらすみて,くもをはよそに,いつるつきかけ
むらくもの,かかるとみゆる,やまのはを,はるかにいてて,すめるつきかけ
なかむれは,みやこのそらの,うきくもを,へたてていつる,やまのはのつき
わきてこの,こころつくしは,あきそとも,このまのつきの,かけよりそしる
としをへて,ひかりさしそへ,かすかなる,やまはみかさの,あきのよのつき
よそまては,なにかいとはむ,かつらきや,つきにかからぬ,みねのしらくも
いまこそは,いたゐのみつの,そこまても,のこるくまなく,つきはすみけれ
むかしより,なにおふあきの,なかはとて,つきはこよひそ,すみまさりける
としをへて,くものうへにて,みしあきの,かけもこひしき,もちつきのこま
ゆふくれの,つきよりさきに,せきこえて,このしたくらき,きりはらのこま
あふさかや,とりのそらねの,せきのとも,あけぬとみえて,すめるつきかな
