けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
さゆるよの,こほりのうへに,ゐるかもは,とけてねられぬ,ねをのみやなく
あさあけの,こほるなみまに,たちゐする,はおともさむき,いけのむらとり
ふちはせに,かはるのみかは,あすかかは,きのふのなみそ,けさはこほれる
さゆるひの,しくれののちの,ゆふやまに,うすゆきふりて,くもそはれゆく
しくれつる,とやまのさとの,さゆるよは,よしののたけに,はつゆきやふる
よもすから,さとはしくれて,よこくもの,わかるるみねに,みゆるしらゆき
きのふけふ,さとはしくれの,ひまなくて,みやまはゆきそ,はやふりにける
いはのうへの,こけのころもも,うつもれす,たたひとへなる,けさのしらゆき
くもゐゆく,つはさもさえて,とふとりの,あすかみゆきの,ふるさとのそら
けさみれは,とほやましろし,みやこまて,かせのおくらぬ,よはのはつゆき
みわたせは,あけわかれゆく,くもまより,をのへそしろき,ゆきのとほやま
さえこほる,くもははれゆく,あさあけの,ひかけにみかく,ゆきのやまのは
しからきの,とやまはかりに,ふりそめて,にはにはおそき,ゆきにもあるかな
ふりつもる,こすゑやけさは,こほりぬる,かせにもおちぬ,まつのしらゆき
そらさむき,とやまのくもは,なほとちて,さとよりはるる,ゆきのあさあけ
はれそむる,くものとたえの,かたはかり,ゆふひにみかく,みねのしらゆき
ときうつり,つきひつもれる,ほとなさに,はなみしにはに,ふれるしらゆき
けさはまた,あとみえぬまて,つもりけり,わかわけそむる,みねのしらゆき
くれかかる,ゆふへのそらに,くもさえて,やまのははかり,ふれるしらゆき
ゆきふれは,やまのはしらむ,あけかたに,くもまにのこる,つきのさやけさ
ふみわけし,きのふのにはの,あともなく,またふりかくす,けさのしらゆき
したこほる,みやまのゆきの,けぬかうへに,いまいくへとか,ふりかさぬらむ
えたかはす,こすゑにゆきは,もりかねて,このしたうすき,まきのやまみち
たれかくて,すむらむとたに,しらゆきの,ふかきみやまの,おくのいほかな
ゆくみつに,うかふこのはの,ひまをなみ,こほらぬうへに,つもるしらゆき
はやきせの,みつのうへには,ふりきえて,こほるかたより,つもるしらゆき
ささのはの,さえつるなへに,あしひきの,やまにはゆきそ,ふりつみにける
しほかせに,たちくるなみと,みるほとに,ゆきをしきつの,うらのまさこち
あけわたる,なみちのくもの,たえまより,むらむらしろき,ゆきのとほやま
あしのはも,しもかれはてて,なにはかた,いりえさひしき,なみのうへかな
おほゐかは,すさきのあしは,うつもれて,なみにうきたる,ゆきのひとむら
かせはらふ,みきはのあしの,をれかへり,なひくすゑはは,ゆきもたまらす
よはのあらし,はらひかねけり,けさみれは,ゆきのうつまぬ,まつすきもなし
みやきのや,かれはたになき,はきかえに,をれぬはかりも,つもるしらゆき
したをれの,たけのおとさへ,たえはてぬ,あまりにつもる,ゆきのひかすに
あかつきに,つもりやまさる,そともなる,たけのゆきをれ,こゑつつくなり
ふきはらふ,あらしはよわる,したをれに,ゆきにこゑある,まとのくれたけ
ゆふまくれ,ふるともみえて,しらゆきの,つもれはなひく,にはのくれたけ
かきくらす,のきはのそらに,かすみえて,なかめもあへす,おつるしらゆき
やまあらしの,すきのははらふ,あけほのに,むらむらなひく,ゆきのしらくも
ふりつもる,かちののはらの,ゆきのうへに,わくるあさけの,そてのさむけさ
とふひとも,なくてひかすそ,つもりぬる,にはにあとみぬ,やとのしらゆき
かさねても,うつみなはてそ,まれにとふ,ひとのなさけの,あとのしらゆき
あまのかは,やととふみちも,たえぬらし,かたののみのに,つもるしらゆき
はつせやま,をのへのゆきけ,くもはれて,あらしにちかき,あかつきのかね
ふるゆきの,あめになりゆく,したきえに,おとこそまされ,のきのたまみつ
けさのまの,ゆきはあとなく,きえはてて,かれののくちは,あめしをるなり
しろたへの,いろよりほかの,いろもなし,とほきのやまの,ゆきのあけほの
ふりはれて,つきのかけさす,にはのゆきは,うすきもふかく,みゆるなりけり
ふりうつむ,ゆきのすかたと,みえつるを,きえゆくかたそ,たけになりゆく
ゆきうつむ,そののくれたけ,をれふして,ねくらもとむる,むらすすめかな
へたてつる,かきねのたけも,をれふして,ゆきにはれたる,さとのひとむら
ほしきよき,よはのうすゆき,そらはれて,ふきとほすかせを,こすゑにそきく
ゆきふれは,みちたえにけり,よしのやま,はなをはひとの,たつねしものを
はるならぬ,はなもみよとや,みよしのの,たままつかえに,ふれるしらゆき
くもをいてて,われにともなふ,ふゆのつき,かせやみにしむ,ゆきやつめたき
つきかけは,もりのこすゑに,かたふきて,うすゆきしろし,ありあけのには
そらはなほ,またよふかくて,ふりつもる,ゆきのひかりに,しらむやまのは
こよひまた,かせふきさえて,きえやらぬ,きのふのゆきに,ふりそかさなる
あまのとの,あくるそらかと,みえつるは,つもれるゆきの,ひかりなりけり
まきもくの,たまきのみやに,ゆきふれは,さらにむかしの,あしたをそみる
ふりにける,あとにこころの,ととまるは,たかつのみやの,ゆきのあけほの
あともなき,すゑののたけの,ゆきをれに,かすむやけふり,ひとはすみけり
かせはらふ,こすゑはかりは,かつおちて,しつえにのこる,まつのしらゆき
かせののち,あられひとしきり,ふりすきて,またむらくもに,つきそもりくる
うきくもの,ひとむらすくる,やまおろしに,ゆきふきませて,あられふるなり
ひとむらの,くもにあられは,まつおちぬ,しくれしそらの,ゆきになるころ
あられふる,くものたえまの,ゆふつくひ,ひかりをそへて,たまそみたるる
あらしふく,みやまのいほの,ささのはの,さやくをきけは,あられふるなり
ねやのうへは,つもれるゆきに,おともせて,よこきるあられ,まとたたくなり
ふくかせの,あらちのたかね,ゆきさえて,やたのかれのに,あられふるなり
しからきの,とやまのあられ,ふりすさひ,あれゆくころの,くものいろかな
ここのへに,よをかさねつる,くものうへの,ありあけのつきを,いつかわすれむ
はなならぬ,ゆきにもつらし,あさきよめ,またこころあれ,とものみやつこ
をとめこか,くものかよひち,そらはれて,とよのあかりも,ひかりそへけり
たちましり,そてつらねしも,むかしかな,とよのあかりの,くものうへひと
やまもとや,いつくとしらぬ,さとかくら,こゑするもりは,みやゐなるらし
わすれめや,にはひにつきの,かけそへて,くもゐにききし,あさくらのこゑ
たきすさふ,しもよのにはひ,かけふけて,くもゐにすめる,あさくらのこゑ
ゆきのうちに,ふゆはいなはの,みねのまつ,つひにもみちぬ,いろたにもなし
としのうちに,さけるはなかと,うめかえに,をれはたもとに,かかるしらゆき
このはなき,むなしきえたに,としくれて,まためくむへき,はるそちかつく
うめかえに,わきてふらなむ,しらゆきは,はるよりさきの,はなとみるへく
となへつる,みよのほとけを,しるへにて,おのれもなのる,くものうへひと
はるあきの,すててわかれし,そらよりも,みにそふとしの,くれそかなしき
